20/05/2000;19;32;41;42;67;77;79;00
24/05/2000;08;10;22;72;87;90;39;00
27/05/2000;03;25;39;50;53;67;51;00
31/05/2000;04;08;19;39;63;70;66;00
03/06/2000;06;17;31;33;43;66;78;00
07/06/2000;02;04;23;38;53;59;17;00
10/06/2000;03;16;37;56;58;79;18;00
14/06/2000;15;25;50;64;80;89;72;00
17/06/2000;29;32;35;49;69;71;70;00
21/06/2000;12;15;34;43;55;75;70;00
24/06/2000;01;28;52;53;63;77;11;00
28/06/2000;03;17;18;41;63;89;48;00
01/07/2000;19;39;43;48;62;76;05;00
05/07/2000;12;34;35;50;63;88;69;00
08/07/2000;04;06;08;41;76;80;60;00
12/07/2000;11;15;16;43;49;84;48;00
15/07/2000;05;18;24;51;55;74;17;00
19/07/2000;06;37;53;60;66;72;26;00
22/07/2000;10;13;42;54;66;81;01;00
26/07/2000;03;37;40;49;53;83;44;00
29/07/2000;29;31;56;57;76;79;43;00
02/08/2000;04;39;56;59;65;78;61;00
05/08/2000;23;36;56;78;80;83;40;00
09/08/2000;18;36;47;62;75;80;41;00
12/08/2000;09;19;52;68;70;74;88;00
16/08/2000;14;21;27;49;82;83;36;00
19/08/2000;05;30;32;35;55;87;86;00
23/08/2000;11;13;20;41;76;89;29;00
26/08/2000;04;14;15;19;76;85;89;00
30/08/2000;08;16;59;61;78;90;45;00
02/09/2000;28;44;49;57;64;89;87;00
06/09/2000;07;11;48;49;64;72;08;00
09/09/2000;03;06;10;26;43;72;89;00
13/09/2000;01;45;48;69;70;89;26;00
16/09/2000;08;09;17;37;49;86;30;00
20/09/2000;12;14;29;49;62;82;79;00
23/09/2000;12;51;56;73;85;88;25;00
27/09/2000;05;48;71;84;85;87;22;00
30/09/2000;25;35;52;55;60;68;75;00
04/10/2000;02;03;15;16;24;67;07;00
07/10/2000;08;10;16;21;39;65;02;00
11/10/2000;11;54;64;70;73;77;66;00
14/10/2000;24;35;37;63;81;85;25;00
18/10/2000;15;33;41;48;52;56;82;00
21/10/2000;01;10;23;40;68;75;14;00
25/10/2000;02;38;39;41;61;76;21;00
28/10/2000;06;21;29;43;80;89;05;00
02/11/2000;02;55;76;78;81;85;71;00
04/11/2000;19;21;28;50;53;62;64;00
08/11/2000;22;42;50;53;78;83;40;00
11/11/2000;09;27;45;66;68;71;83;00
15/11/2000;01;25;26;28;53;79;73;00
18/11/2000;03;21;42;49;64;85;66;00
22/11/2000;14;25;39;50;72;89;59;00
25/11/2000;03;14;49;52;65;81;42;00
29/11/2000;13;17;29;32;35;49;56;00
02/12/2000;06;11;17;18;20;59;55;00
06/12/2000;09;16;48;70;75;77;64;00
09/12/2000;39;55;62;77;82;88;78;00
13/12/2000;08;54;62;63;66;84;45;00
16/12/2000;23;33;36;55;76;79;44;00
20/12/2000;26;36;43;47;64;90;23;00
23/12/2000;11;33;59;68;84;85;62;00
27/12/2000;01;05;14;20;39;58;76;00
30/12/2000;01;08;26;33;47;70;72;00
03/01/2001;15;25;26;33;41;62;51;00
08/01/2001;16;19;61;69;72;84;59;00
10/01/2001;08;14;30;31;35;76;75;00
13/01/2001;44;50;57;81;83;90;05;00
17/01/2001;16;22;35;41;53;62;71;00
20/01/2001;14;25;28;42;82;90;31;00
24/01/2001;29;42;56;65;80;90;78;00
27/01/2001;02;06;18;20;49;83;15;00
31/01/2001;28;46;65;70;77;86;53;00
03/02/2001;02;08;13;39;47;89;33;00
07/02/2001;04;23;56;63;71;89;84;00
10/02/2001;04;36;41;49;56;82;62;00
14/02/2001;15;22;38;62;83;86;57;00
17/02/2001;09;17;30;37;40;46;74;00
21/02/2001;06;28;46;55;56;62;64;00
24/02/2001;25;26;75;78;79;80;56;00
28/02/2001;33;43;59;77;83;86;12;00
03/03/2001;05;13;18;40;51;56;82;00
07/03/2001;32;34;40;45;65;71;89;00
10/03/2001;18;39;61;68;74;75;22;00
14/03/2001;28;35;36;62;66;70;67;00
17/03/2001;08;19;46;49;73;85;72;00
21/03/2001;39;43;56;61;65;81;28;00
24/03/2001;02;08;24;36;80;84;79;00
28/03/2001;11;39;63;64;74;88;28;00
31/03/2001;12;14;17;32;50;58;13;00
04/04/2001;02;23;48;57;63;89;11;00
07/04/2001;05;12;40;61;63;88;31;00
11/04/2001;11;41;52;71;81;89;38;00
14/04/2001;10;11;64;74;82;88;33;00
18/04/2001;10;26;32;41;42;54;31;00
21/04/2001;02;07;12;31;38;71;63;00
26/04/2001;04;22;27;45;58;86;55;00
28/04/2001;02;14;32;43;44;55;12;00
02/05/2001;02;45;59;70;75;82;26;00
05/05/2001;09;22;26;67;71;89;36;00
09/05/2001;07;30;47;76;83;89;11;00
12/05/2001;03;32;37;42;43;89;57;00
16/05/2001;13;15;18;49;65;73;67;00
19/05/2001;06;36;52;68;80;81;87;00
23/05/2001;08;39;55;56;57;63;45;00
26/05/2001;05;26;37;43;45;64;54;00
30/05/2001;11;18;42;44;45;83;07;00
04/06/2001;36;48;70;77;82;88;37;00
06/06/2001;07;18;44;48;51;63;73;00
09/06/2001;04;18;24;29;41;59;40;00
13/06/2001;58;61;70;78;84;87;83;00
16/06/2001;07;12;19;21;60;81;04;00
20/06/2001;25;32;34;54;64;83;56;00
23/06/2001;04;15;22;34;77;87;81;00
27/06/2001;16;20;27;31;32;77;14;00
30/06/2001;22;31;45;68;84;88;54;00
04/07/2001;13;29;40;61;73;81;04;00
07/07/2001;10;50;53;78;82;86;90;00
11/07/2001;07;10;23;33;68;85;30;00
14/07/2001;01;31;44;59;64;77;53;00
18/07/2001;04;22;37;43;63;80;46;00
21/07/2001;03;09;35;65;80;84;26;00
25/07/2001;39;56;64;75;76;90;53;00
28/07/2001;27;31;34;47;58;75;62;00
01/08/2001;05;39;43;53;63;82;33;00
04/08/2001;05;22;49;63;65;66;76;00
08/08/2001;01;08;14;27;83;87;05;00
11/08/2001;21;25;31;44;49;52;61;00
16/08/2001;07;58;61;62;73;74;79;00
18/08/2001;06;07;14;53;54;85;03;00
22/08/2001;10;12;38;57;72;84;11;00
25/08/2001;01;09;27;36;68;70;85;00
29/08/2001;05;11;44;57;86;90;39;00
01/09/2001;10;11;16;45;46;55;31;00
05/09/2001;08;43;53;69;74;79;75;00
08/09/2001;12;25;49;53;67;73;37;00
12/09/2001;03;05;10;32;44;75;49;00
15/09/2001;02;14;38;53;56;71;48;00
19/09/2001;10;21;30;45;55;57;64;00
22/09/2001;22;26;27;28;72;73;01;00
26/09/2001;14;62;69;70;86;88;09;00
29/09/2001;03;04;07;55;61;77;75;00
03/10/2001;14;42;45;49;71;86;72;00
06/10/2001;03;11;43;50;85;88;45;00
10/10/2001;14;35;37;52;66;72;12;00
13/10/2001;13;28;45;58;70;86;60;00
17/10/2001;18;49;60;64;80;84;79;00
20/10/2001;16;19;20;30;31;47;83;00
24/10/2001;12;23;48;70;85;86;78;00
27/10/2001;25;32;36;46;57;58;73;00
31/10/2001;05;11;17;21;28;63;50;00
03/11/2001;07;24;30;59;66;89;74;00
07/11/2001;08;10;23;35;40;46;09;00
10/11/2001;01;34;42;50;70;72;11;00
14/11/2001;03;04;16;36;74;89;40;00
17/11/2001;01;07;10;23;66;88;18;00
21/11/2001;14;53;55;65;83;87;74;00
24/11/2001;06;07;16;51;62;83;36;00
28/11/2001;21;32;35;40;66;83;50;00
01/12/2001;32;48;50;55;58;86;04;00
05/12/2001;14;32;47;48;63;79;46;00
10/12/2001;05;19;40;51;85;87;88;00
12/12/2001;04;14;20;61;75;78;56;00
15/12/2001;01;14;68;70;75;83;89;00
19/12/2001;19;25;49;53;81;84;64;00
22/12/2001;03;21;32;48;59;68;18;00
27/12/2001;20;21;26;53;80;90;04;00
29/12/2001;24;26;49;53;68;83;29;00
31/12/2001;41;51;54;63;66;69;35;00
02/01/2002;23;31;33;39;74;84;45;00
05/01/2002;50;52;54;76;77;86;64;00
09/01/2002;15;30;37;52;61;87;10;00
12/01/2002;12;26;45;75;82;84;33;00
16/01/2002;03;13;20;35;46;58;71;00
19/01/2002;15;19;30;46;47;71;72;00
23/01/2002;12;41;52;55;84;85;45;00
26/01/2002;25;33;41;51;66;76;28;00
30/01/2002;03;06;34;49;79;83;32;00
02/02/2002;21;28;60;68;71;88;89;00
06/02/2002;29;37;53;62;79;85;51;00
09/02/2002;09;35;45;77;85;87;72;00
13/02/2002;14;39;53;55;73;87;03;00
16/02/2002;06;36;37;59;61;62;38;00
20/02/2002;01;61;66;70;78;81;85;00
23/02/2002;14;17;56;59;69;88;13;00
27/02/2002;29;33;40;47;54;87;27;00
02/03/2002;19;26;28;45;86;88;79;00
06/03/2002;05;06;32;61;67;85;35;00
09/03/2002;44;56;57;76;86;88;19;00
13/03/2002;20;40;64;68;76;90;59;00
16/03/2002;05;30;34;50;82;84;28;00
20/03/2002;15;35;42;45;55;77;43;00
23/03/2002;01;29;35;38;45;51;86;00
27/03/2002;03;11;16;38;69;82;17;00
30/03/2002;30;56;57;73;82;84;41;00
03/04/2002;15;37;40;47;64;81;49;00
06/04/2002;19;23;29;44;69;89;60;00
10/04/2002;02;28;43;57;79;90;15;00
13/04/2002;18;21;76;79;80;84;57;00
17/04/2002;24;27;35;43;64;88;08;00
20/04/2002;19;42;45;51;62;88;18;00
24/04/2002;27;42;45;62;74;87;02;00
27/04/2002;21;37;41;45;60;71;23;00
02/05/2002;07;15;17;26;36;54;10;00
04/05/2002;01;06;60;61;69;86;03;00
08/05/2002;25;55;57;67;69;86;02;00
11/05/2002;10;17;51;54;62;65;81;00
15/05/2002;23;26;34;35;71;84;53;00
18/05/2002;13;28;31;58;59;79;45;00
22/05/2002;12;26;27;42;66;89;41;00
25/05/2002;40;46;49;62;77;88;02;00
29/05/2002;21;36;38;72;79;82;25;00
01/06/2002;38;50;58;80;85;90;84;00
05/06/2002;04;41;43;51;85;89;64;00
08/06/2002;01;38;70;75;83;86;52;00
12/06/2002;37;51;58;62;63;86;78;00
15/06/2002;08;16;33;64;71;86;90;00
19/06/2002;22;24;30;58;60;89;26;00
22/06/2002;16;37;42;46;60;64;11;00
26/06/2002;09;11;17;38;81;88;46;00
29/06/2002;01;04;50;66;69;77;42;00
03/07/2002;14;21;34;37;66;73;74;00
06/07/2002;03;15;28;76;83;86;56;00
10/07/2002;19;37;50;73;75;85;61;00
13/07/2002;21;38;63;70;71;83;07;00
17/07/2002;17;20;44;57;71;76;14;00
20/07/2002;11;19;57;63;84;89;35;00
24/07/2002;05;17;44;62;80;88;69;00
27/07/2002;11;20;24;31;40;49;88;00
31/07/2002;08;12;36;62;68;81;51;00
03/08/2002;23;26;32;52;71;75;35;00
07/08/2002;07;08;53;72;82;84;22;00
10/08/2002;16;29;32;40;48;70;38;00
14/08/2002;05;07;20;25;38;59;63;00
17/08/2002;15;30;33;35;87;88;90;00
21/08/2002;17;23;33;44;46;69;07;00
24/08/2002;08;25;26;38;66;79;49;00
28/08/2002;01;07;42;49;77;88;46;00
31/08/2002;21;28;29;36;45;54;05;00
04/09/2002;10;41;52;53;61;88;89;00
07/09/2002;16;51;57;64;72;90;63;00
11/09/2002;16;23;55;83;86;89;09;00
14/09/2002;20;23;30;44;78;88;56;00
18/09/2002;11;18;55;77;81;85;58;00
21/09/2002;01;10;16;51;76;89;49;00
25/09/2002;23;50;54;56;78;83;65;00
28/09/2002;34;56;61;62;70;77;59;00
02/10/2002;14;18;54;63;70;87;74;00
05/10/2002;09;15;25;40;44;71;84;00
09/10/2002;21;22;52;59;65;76;40;00
12/10/2002;01;02;08;12;48;66;28;00
16/10/2002;10;27;37;57;66;78;09;00
19/10/2002;10;21;23;35;55;89;53;00
23/10/2002;40;43;46;57;77;82;47;00
26/10/2002;27;70;73;84;88;90;04;00
30/10/2002;13;15;36;78;82;86;67;00
02/11/2002;01;15;22;33;42;80;53;00
06/11/2002;11;13;25;59;61;87;77;00
09/11/2002;12;34;39;52;61;83;07;00
13/11/2002;05;44;45;53;73;89;41;00
16/11/2002;05;11;23;47;58;60;08;00
20/11/2002;18;26;44;51;63;90;68;00
23/11/2002;14;42;68;69;80;85;54;00
27/11/2002;10;16;20;26;48;56;63;00
30/11/2002;17;34;35;56;65;85;61;00
03/12/2002;04;05;11;26;34;36;72;00
05/12/2002;14;17;21;31;33;69;78;00
07/12/2002;06;17;23;55;56;68;41;00
10/12/2002;22;31;63;76;78;79;58;00
12/12/2002;03;08;21;33;46;86;37;00
14/12/2002;14;35;36;47;58;69;89;00
17/12/2002;05;27;30;31;34;86;87;00
19/12/2002;18;27;49;59;81;88;17;00
21/12/2002;02;27;52;65;70;82;90;00
24/12/2002;01;03;06;42;81;83;87;00
27/12/2002;33;41;49;50;73;87;27;00
28/12/2002;14;17;62;75;76;85;35;00
31/12/2002;24;31;37;45;71;81;72;00
02/01/2003;06;18;34;43;58;80;08;00
04/01/2003;16;17;26;28;37;85;55;00
08/01/2003;05;26;49;50;73;90;65;00
11/01/2003;11;12;27;39;67;90;34;00
15/01/2003;02;46;49;56;82;84;37;00
18/01/2003;50;62;70;75;82;90;74;00
22/01/2003;51;57;58;69;86;89;07;00
25/01/2003;33;37;41;56;65;82;10;00
29/01/2003;05;11;22;27;36;90;84;00
01/02/2003;14;24;40;56;81;90;20;00
05/02/2003;12;18;54;71;80;85;24;00
08/02/2003;03;14;31;32;64;79;50;00
12/02/2003;14;22;24;34;60;85;61;00
15/02/2003;03;09;12;36;71;85;08;00
19/02/2003;12;19;51;61;62;90;01;00
22/02/2003;17;41;45;81;82;88;39;00
26/02/2003;01;41;48;49;84;87;80;00
01/03/2003;08;12;27;72;80;84;19;00
05/03/2003;29;40;57;67;76;79;87;00
08/03/2003;08;27;34;42;83;88;24;00
12/03/2003;05;27;30;58;78;82;68;00
15/03/2003;23;27;43;56;71;75;58;00
19/03/2003;01;17;46;58;67;75;41;00
22/03/2003;32;34;37;49;52;68;71;00
26/03/2003;15;37;43;51;61;89;79;00
29/03/2003;01;31;54;80;81;85;26;00
02/04/2003;27;28;40;63;67;78;83;00
05/04/2003;12;18;47;63;75;81;60;00
09/04/2003;04;14;16;44;76;77;15;00
12/04/2003;04;61;63;79;84;85;03;00
16/04/2003;15;22;37;64;88;90;26;00
19/04/2003;11;26;45;53;69;75;64;00
23/04/2003;11;21;40;66;68;83;89;00
26/04/2003;10;18;26;39;62;68;86;00
30/04/2003;35;38;60;68;74;86;53;00
03/05/2003;02;06;12;17;19;63;50;00
07/05/2003;01;02;04;19;26;89;06;00
10/05/2003;22;38;46;47;77;86;53;00
14/05/2003;16;21;38;44;67;87;28;00
17/05/2003;05;39;61;75;79;90;38;00
21/05/2003;05;28;48;53;75;88;04;00
24/05/2003;12;35;54;58;61;65;60;00
28/05/2003;40;44;62;76;85;90;10;00
31/05/2003;30;44;47;48;53;56;72;00
04/06/2003;17;29;35;45;76;84;51;00
07/06/2003;15;37;38;57;76;87;30;00
11/06/2003;07;32;40;43;47;87;05;00
14/06/2003;06;25;46;59;71;83;61;00
18/06/2003;02;12;26;30;65;74;39;00
21/06/2003;07;19;39;45;48;86;90;00
25/06/2003;01;09;40;59;73;74;70;00
28/06/2003;14;18;34;48;49;74;04;00
02/07/2003;09;13;16;17;34;57;37;00
05/07/2003;50;62;68;70;74;80;22;00
09/07/2003;36;38;39;66;76;83;03;00
12/07/2003;10;11;46;80;83;88;15;00
16/07/2003;15;18;29;37;47;50;22;00
19/07/2003;07;14;27;47;80;87;33;00
23/07/2003;01;10;35;57;67;78;85;00
26/07/2003;03;04;08;28;77;86;68;00
30/07/2003;07;18;46;74;82;90;60;00
02/08/2003;12;41;45;51;66;77;40;00
06/08/2003;08;21;24;42;72;73;51;00
09/08/2003;37;48;55;76;87;90;71;00
13/08/2003;09;11;39;44;49;86;47;00
16/08/2003;35;52;55;61;80;83;36;00
20/08/2003;08;09;10;18;42;63;49;00
23/08/2003;06;42;68;70;75;87;73;00
27/08/2003;01;08;22;28;64;77;21;00
30/08/2003;02;05;36;61;86;88;44;00
03/09/2003;18;45;47;56;77;78;52;00
06/09/2003;16;17;49;50;74;81;19;00
