31/07/1999	260	5	34	44	73	77	83	65	0	0
04/08/1999	261	12	23	46	54	78	90	85	0	0
07/08/1999	262	4	16	29	58	69	88	54	0	0
11/08/1999	263	10	19	24	29	42	67	39	0	0
14/08/1999	264	45	64	73	80	81	85	11	0	0
18/08/1999	265	13	16	51	56	65	67	35	0	0
21/08/1999	266	1	32	37	63	67	69	90	0	0
25/08/1999	267	1	25	28	39	51	89	62	0	0
28/08/1999	268	7	12	14	16	24	45	54	0	0
01/09/1999	269	5	19	26	32	67	87	65	0	0
04/09/1999	270	38	40	41	69	76	81	78	0	0
08/09/1999	271	15	38	48	74	75	80	81	0	0
11/09/1999	272	25	40	57	59	76	82	55	0	0
15/09/1999	273	17	20	27	29	72	73	85	0	0
18/09/1999	274	12	15	33	60	79	88	8	0	0
22/09/1999	275	1	11	40	50	53	80	68	0	0
25/09/1999	276	6	27	37	38	47	79	23	0	0
29/09/1999	277	4	16	27	55	67	72	3	0	0
02/10/1999	278	6	10	38	48	49	65	61	0	0
06/10/1999	279	38	58	61	64	82	87	68	0	0
09/10/1999	280	12	35	40	59	78	80	44	0	0
13/10/1999	281	6	24	30	34	37	71	82	0	0
16/10/1999	282	3	35	45	47	54	70	30	0	0
20/10/1999	283	22	26	58	60	67	88	49	0	0
23/10/1999	284	24	46	57	73	79	81	77	0	0
27/10/1999	285	6	25	34	72	76	82	12	0	0
30/10/1999	286	16	21	29	39	70	90	76	0	0
03/11/1999	287	19	42	64	68	72	86	45	0	0
06/11/1999	288	6	7	37	67	80	87	22	0	0
10/11/1999	289	21	45	55	61	73	80	77	0	0
13/11/1999	290	3	23	61	82	83	88	64	0	0
17/11/1999	291	6	51	73	78	80	81	34	0	0
20/11/1999	292	20	31	45	62	76	81	51	0	0
24/11/1999	293	12	16	24	48	53	58	85	0	0
27/11/1999	294	14	20	57	79	85	88	69	0	0
01/12/1999	295	1	13	24	39	44	45	83	0	0
04/12/1999	296	13	39	62	63	66	76	11	0	0
09/12/1999	297	20	32	37	44	75	88	72	0	0
11/12/1999	298	6	27	50	57	77	80	22	0	0
15/12/1999	299	18	21	28	35	41	85	66	0	0
18/12/1999	300	13	42	57	61	63	82	45	0	0
22/12/1999	301	6	9	32	47	59	60	83	0	0
27/12/1999	302	20	21	63	71	75	79	15	0	0
29/12/1999	303	14	15	20	42	70	88	28	0	0
03/01/2000	304	17	38	48	51	55	62	59	0	0
05/01/2000	305	2	13	31	37	38	82	39	0	0
08/01/2000	306	6	15	47	71	75	86	78	0	0
12/01/2000	307	3	15	48	74	76	81	34	0	0
15/01/2000	308	11	21	22	50	59	63	42	0	0
19/01/2000	309	20	29	39	54	57	71	28	0	0
22/01/2000	310	15	21	55	60	70	90	34	0	0
26/01/2000	311	2	57	62	63	73	87	55	0	0
29/01/2000	312	55	65	68	70	73	80	89	0	0
02/02/2000	313	12	13	28	30	47	63	35	0	0
05/02/2000	314	17	48	52	64	86	87	60	0	0
09/02/2000	315	6	36	49	51	52	76	35	0	0
12/02/2000	316	4	33	67	71	81	82	72	0	0
16/02/2000	317	8	27	39	51	54	90	71	0	0
19/02/2000	318	25	28	37	51	54	81	4	0	0
23/02/2000	319	44	53	61	65	86	89	49	0	0
26/02/2000	320	4	35	48	57	69	90	34	0	0
01/03/2000	321	27	32	37	70	82	88	52	0	0
04/03/2000	322	7	19	29	33	40	88	80	0	0
08/03/2000	323	4	13	15	20	32	41	28	0	0
11/03/2000	324	28	42	46	56	74	87	43	0	0
15/03/2000	325	8	17	35	61	78	89	9	0	0
18/03/2000	326	8	58	76	81	85	87	65	0	0
22/03/2000	327	2	19	22	57	65	89	61	0	0
25/03/2000	328	15	27	47	51	62	63	20	0	0
29/03/2000	329	1	6	12	26	57	70	28	0	0
01/04/2000	330	3	9	30	58	60	88	37	0	0
05/04/2000	331	10	17	33	38	67	71	73	0	0
08/04/2000	332	3	12	26	47	54	87	90	0	0
12/04/2000	333	18	24	45	58	62	80	4	0	0
15/04/2000	334	2	27	33	47	53	86	65	0	0
19/04/2000	335	5	53	64	74	77	88	78	0	0
22/04/2000	336	24	35	39	48	82	85	66	0	0
26/04/2000	337	17	51	67	70	82	86	49	0	0
29/04/2000	338	8	42	45	59	68	88	9	0	0
03/05/2000	339	1	13	37	53	62	71	9	0	0
06/05/2000	340	23	26	34	56	66	85	44	0	0
10/05/2000	341	9	12	19	39	82	86	69	0	0
13/05/2000	342	32	38	40	59	62	79	2	0	0
17/05/2000	343	11	14	19	32	78	89	9	0	0
20/05/2000	344	19	32	41	42	67	77	79	0	0
24/05/2000	345	8	10	22	72	87	90	39	0	0
27/05/2000	346	3	25	39	50	53	67	51	0	0
31/05/2000	347	4	8	19	39	63	70	66	0	0
03/06/2000	348	6	17	31	33	43	66	78	0	0
07/06/2000	349	2	4	23	38	53	59	17	0	0
10/06/2000	350	3	16	37	56	58	79	18	0	0
14/06/2000	351	15	25	50	64	80	89	72	0	0
17/06/2000	352	29	32	35	49	69	71	70	0	0
21/06/2000	353	12	15	34	43	55	75	70	0	0
24/06/2000	354	1	28	52	53	63	77	11	0	0
28/06/2000	355	3	17	18	41	63	89	48	0	0
01/07/2000	356	19	39	43	48	62	76	5	0	0
05/07/2000	357	12	34	35	50	63	88	69	0	0
08/07/2000	358	4	6	8	41	76	80	60	0	0
12/07/2000	359	11	15	16	43	49	84	48	0	0
15/07/2000	360	5	18	24	51	55	74	17	0	0
19/07/2000	361	6	37	53	60	66	72	26	0	0
22/07/2000	362	10	13	42	54	66	81	1	0	0
26/07/2000	363	3	37	40	49	53	83	44	0	0
29/07/2000	364	29	31	56	57	76	79	43	0	0
02/08/2000	365	4	39	56	59	65	78	61	0	0
05/08/2000	366	23	36	56	78	80	83	40	0	0
09/08/2000	367	18	36	47	62	75	80	41	0	0
12/08/2000	368	9	19	52	68	70	74	88	0	0
16/08/2000	369	14	21	27	49	82	83	36	0	0
19/08/2000	370	5	30	32	35	55	87	86	0	0
23/08/2000	371	11	13	20	41	76	89	29	0	0
26/08/2000	372	4	14	15	19	76	85	89	0	0
30/08/2000	373	8	16	59	61	78	90	45	0	0
02/09/2000	374	28	44	49	57	64	89	87	0	0
06/09/2000	375	7	11	48	49	64	72	8	0	0
09/09/2000	376	3	6	10	26	43	72	89	0	0
13/09/2000	377	1	45	48	69	70	89	26	0	0
16/09/2000	378	8	9	17	37	49	86	30	0	0
20/09/2000	379	12	14	29	49	62	82	79	0	0
23/09/2000	380	12	51	56	73	85	88	25	0	0
27/09/2000	381	5	48	71	84	85	87	22	0	0
30/09/2000	382	25	35	52	55	60	68	75	0	0
04/10/2000	383	2	3	15	16	24	67	7	0	0
07/10/2000	384	8	10	16	21	39	65	2	0	0
11/10/2000	385	11	54	64	70	73	77	66	0	0
14/10/2000	386	24	35	37	63	81	85	25	0	0
18/10/2000	387	15	33	41	48	52	56	82	0	0
21/10/2000	388	1	10	23	40	68	75	14	0	0
25/10/2000	389	2	38	39	41	61	76	21	0	0
28/10/2000	390	6	21	29	43	80	89	5	0	0
02/11/2000	391	2	55	76	78	81	85	71	0	0
04/11/2000	392	19	21	28	50	53	62	64	0	0
08/11/2000	393	22	42	50	53	78	83	40	0	0
11/11/2000	394	9	27	45	66	68	71	83	0	0
15/11/2000	395	1	25	26	28	53	79	73	0	0
18/11/2000	396	3	21	42	49	64	85	66	0	0
22/11/2000	397	14	25	39	50	72	89	59	0	0
25/11/2000	398	3	14	49	52	65	81	42	0	0
29/11/2000	399	13	17	29	32	35	49	56	0	0
02/12/2000	400	6	11	17	18	20	59	55	0	0
06/12/2000	401	9	16	48	70	75	77	64	0	0
09/12/2000	402	39	55	62	77	82	88	78	0	0
13/12/2000	403	8	54	62	63	66	84	45	0	0
16/12/2000	404	23	33	36	55	76	79	44	0	0
20/12/2000	405	26	36	43	47	64	90	23	0	0
23/12/2000	406	11	33	59	68	84	85	62	0	0
27/12/2000	407	1	5	14	20	39	58	76	0	0
30/12/2000	408	1	8	26	33	47	70	72	0	0
03/01/2001	409	15	25	26	33	41	62	51	0	0
08/01/2001	410	16	19	61	69	72	84	59	0	0
10/01/2001	411	8	14	30	31	35	76	75	0	0
13/01/2001	412	44	50	57	81	83	90	5	0	0
17/01/2001	413	16	22	35	41	53	62	71	0	0
20/01/2001	414	14	25	28	42	82	90	31	0	0
24/01/2001	415	29	42	56	65	80	90	78	0	0
27/01/2001	416	2	6	18	20	49	83	15	0	0
31/01/2001	417	28	46	65	70	77	86	53	0	0
03/02/2001	418	2	8	13	39	47	89	33	0	0
07/02/2001	419	4	23	56	63	71	89	84	0	0
10/02/2001	420	4	36	41	49	56	82	62	0	0
14/02/2001	421	15	22	38	62	83	86	57	0	0
17/02/2001	422	9	17	30	37	40	46	74	0	0
21/02/2001	423	6	28	46	55	56	62	64	0	0
